GEOID10,NAME,NAMELSAD
0858400,Penrose,Penrose CDP
0858510,Peoria,Peoria CDP
0858592,Perry Park,Perry Park CDP
0858675,Peyton,Peyton CDP
0858758,Phippsburg,Phippsburg CDP
0858960,Piedra,Piedra CDP
0859005,Pierce,Pierce town
0859240,Pine Brook Hill,Pine Brook Hill CDP
0859830,Pitkin,Pitkin town
0860160,Platteville,Platteville town
0860600,Poncha Springs,Poncha Springs town
0860655,Ponderosa Park,Ponderosa Park CDP
0860765,Portland,Portland CDP
0861315,Pritchett,Pritchett town
0862000,Pueblo,Pueblo city
0862220,Pueblo West,Pueblo West CDP
0862660,Ramah,Ramah town
0862880,Rangely,Rangely town
0863045,Raymer (New Raymer),Raymer (New Raymer) town
0863265,Red Cliff,Red Cliff town
0863320,Red Feather Lakes,Red Feather Lakes CDP
0863375,Redlands,Redlands CDP
0863650,Redstone,Redstone CDP
0863705,Redvale,Redvale CDP
0864090,Rico,Rico town
0864200,Ridgway,Ridgway town
0864255,Rifle,Rifle city
0864870,Rock Creek Park,Rock Creek Park CDP
0864970,Rockvale,Rockvale town
0865190,Rocky Ford,Rocky Ford city
0865685,Rollinsville,Rollinsville CDP
0865740,Romeo,Romeo town
0866197,Roxborough Park,Roxborough Park CDP
0866895,Rye,Rye town
0866995,Saddle Ridge,Saddle Ridge CDP
0867005,Saguache,Saguache town
0867040,St. Ann Highlands,St. Ann Highlands CDP
0867142,St. Mary's,St. Mary's CDP
0867280,Salida,Salida city
0867445,Salt Creek,Salt Creek CDP
0867500,San Acacio,San Acacio CDP
0867830,Sanford,Sanford town
0868105,San Luis,San Luis town
0868655,Sawpit,Sawpit town
0868847,Security-Widefield,Security-Widefield CDP
0868875,Sedalia,Sedalia CDP
0868930,Sedgwick,Sedgwick town
0868985,Segundo,Segundo CDP
0869040,Seibert,Seibert town
0869110,Seven Hills,Seven Hills CDP
0869150,Severance,Severance town
0869480,Shaw Heights,Shaw Heights CDP
0869645,Sheridan,Sheridan city
0869700,Sheridan Lake,Sheridan Lake town
0869810,Sherrelwood,Sherrelwood CDP
0870195,Silt,Silt town
0870250,Silver Cliff,Silver Cliff town
0870360,Silver Plume,Silver Plume town
0870525,Silverthorne,Silverthorne town
0870580,Silverton,Silverton town
0870635,Simla,Simla town
0871625,Smeltertown,Smeltertown CDP
0871755,Snowmass Village,Snowmass Village town
0871790,Snyder,Snyder CDP
0872320,Southern Ute,Southern Ute CDP
0872395,South Fork,South Fork town
0873330,Springfield,Springfield town
0873715,Starkville,Starkville town
0873825,Steamboat Springs,Steamboat Springs city
0873935,Sterling,Sterling city
0874080,Stonegate,Stonegate CDP
0874275,Stonewall Gap,Stonewall Gap CDP
0874375,Strasburg,Strasburg CDP
0874430,Stratmoor,Stratmoor CDP
0874485,Stratton,Stratton town
0874815,Sugar City,Sugar City town
0874980,Sugarloaf,Sugarloaf CDP
0875585,Sunshine,Sunshine CDP
0875640,Superior,Superior town
0875970,Swink,Swink town
0876190,Tabernash,Tabernash CDP
0876325,Tall Timber,Tall Timber CDP
0876795,Telluride,Telluride town
0877235,The Pinery,The Pinery CDP
0877290,Thornton,Thornton city
0877510,Timnath,Timnath town
0877757,Todd Creek,Todd Creek CDP
0878280,Towaoc,Towaoc CDP
0878335,Towner,Towner CDP
0878345,Trail Side,Trail Side CDP
0878610,Trinidad,Trinidad city
0879100,Twin Lakes,Twin Lakes CDP
0879105,Twin Lakes,Twin Lakes CDP
0879270,Two Buttes,Two Buttes town
0879785,Upper Bear Creek,Upper Bear Creek CDP
0880040,Vail,Vail town
0880095,Valdez,Valdez CDP
0880370,Valmont,Valmont CDP
0880755,Vernon,Vernon CDP
0880865,Victor,Victor city
0881030,Vilas,Vilas town
0881305,Vineland,Vineland CDP
0881690,Vona,Vona town
0882130,Walden,Walden town
0882350,Walsenburg,Walsenburg city
0882460,Walsh,Walsh town
0882735,Ward,Ward town
0882905,Watkins,Watkins CDP
0883120,Welby,Welby CDP
0883175,Weldona,Weldona CDP
0883230,Wellington,Wellington town
0883450,Westcliffe,Westcliffe town
0883500,Westcreek,Westcreek CDP
0883835,Westminster,Westminster city
0884000,Weston,Weston CDP
0884042,West Pleasant View,West Pleasant View CDP
0884440,Wheat Ridge,Wheat Ridge city
0884770,Wiggins,Wiggins town
0885045,Wiley,Wiley town
0885155,Williamsburg,Williamsburg town
0885485,Windsor,Windsor town
0885705,Winter Park,Winter Park town
0885760,Wolcott,Wolcott CDP
0886090,Woodland Park,Woodland Park city
0886117,Woodmoor,Woodmoor CDP
0886200,Woody Creek,Woody Creek CDP
0886310,Wray,Wray city
0886475,Yampa,Yampa town
0886750,Yuma,Yuma city
